map.put(001,霍亂(虎烈拉)
0010,霍亂弧菌所致的霍亂
0011,異性霍亂弧菌所致霍亂
0019,霍亂
002,傷寒及副傷寒
0020,傷寒
0021,A型副傷寒
0022,B型副傷寒
0023,C型副傷寒
0029,副傷寒
003,其他沙門桿菌感染
0030,沙門桿菌胃腸炎
0031,沙門桿菌敗血症
0032,局部沙門桿菌感染
00320,局部沙門桿菌感染
00321,沙門桿菌腦膜炎
00322,沙門桿菌肺炎
00323,沙門桿菌關節炎
00324,沙門桿菌骨髓炎
00329,其他局部沙門桿菌感染
0038,其他特定的沙門桿菌感染
0039,沙門桿菌感染
004,志賀桿菌病
0040,志賀桿菌性痢疾
0041,Shigella flexneri志賀桿菌病
0042,Shigella boydii志賀桿菌病
0043,Shigella sonnei志賀桿菌病
0048,其他特定的志賀桿菌感染的志賀桿菌病
0049,志賀桿菌病
005,其他食物中毒(細菌性)
0050,葡萄球菌食物中毒
0051,臘腸桿菌食物中毒
0052,產氣梭狀桿菌(魏氏產氣梭菌)所致食物中毒
0053,其他梭菌所致食物中毒
0054,副溶血弧菌所致食物中毒
0058,其他細菌性食物中毒
00581,創傷弧菌所致食物中毒
00589,其他細菌性食物中毒
0059,食物中毒
006,阿米巴病
0060,未提及膿瘍之急性阿米巴性痢疾
0061,未提及膿瘍之慢性腸道阿米巴病
0062,阿米巴性非痢疾性大腸炎
0063,阿米巴性肝膿瘍
0064,阿米巴性肺膿瘍
0065,阿米巴性腦膿瘍
0066,阿米巴性皮膚潰瘍
0068,其他部位之阿米巴感染
0069,阿米巴病
007,其他原蟲性腸道疾病
0070,大腸纖毛虫病
0071,梨形鞭毛虫病
0072,腸球蟲病
0073,腸道鞭毛虫病
0074,隱孢子蟲病
0075,環孢蟲病
0078,其他特定的原虫性腸道疾病
0079,原蟲性腸道疾病
008,其他病原體所致腸道感染
0080,大腸桿菌所致腸道感染
00800,大腸桿菌所致腸道感染
00801,腸病原性大腸桿菌所致腸道感染
00802,產腸毒大腸桿菌所致腸道感染
00803,腸侵襲性大腸桿菌所致腸道感染
00804,腸出血性大腸桿菌所致腸道感染
00809,其他腸道大腸桿菌所致腸道感染
0081,亞利桑納屬副結腸桿菌所致腸道感染
0082,產氣桿菌所致腸道感染
0083,變形桿菌(奇異)(摩爾根)所致腸道感染
0084,其他特定細菌所致腸道感染
00841,葡萄球菌所致腸道感染
00842,假單胞菌所致腸道感染
00843,彎曲桿菌所致腸道感染
00844,腸結腸炎Yersinia菌所致腸道感染
00845,艱難梭菌所致腸道感染
00846,其他厭氧菌所致腸道感染
00847,其他革蘭氏陰性菌所致腸道感染
00849,其他病原體所致腸道感染
0085,細菌性腸炎
0086,特定病毒所致腸炎
00861,輪狀病毒所致腸炎
00862,腺病毒所致腸炎
00863,Norwalk病毒所致腸炎
00864,其他小圓形病毒所致腸炎
00865,杯狀病毒所致腸炎
00866,星狀病毒所致腸炎
00867,腸病毒所致腸炎，NEC
00869,其他病毒所致腸炎
0088,其他病原體所致腸道感染，NEC
009,診斷欠明之腸道感染
0090,感染性大腸炎，腸炎及胃腸炎
0091,疑似感染性之大腸炎，腸炎及胃腸炎
0092,感染性腹瀉
0093,疑似感染性之腹瀉
010,原發性結核感染
010-018,結核病
0100,原發性結核複合症
01000,原發性結核複合症
01001,未作細菌學或組織學檢查之原發性結核複合症
01002,細菌學或組織檢查未知(至今)之原發性結核複合症
01003,顯微鏡檢(痰)發現結核菌之原發性結核複合症
01004,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之原發性結核複合症
01005,細菌學檢查未發現結核菌但組織學確認為結核病之原發性結核複合症
01006,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認為原發性結核複合
0101,原發進行性之結核性肋膜炎
01010,原發進行性之結核性肋膜炎
01011,未作細菌學或組織學檢查之原發進行性之結核性肋膜炎
01012,細菌學或組織檢查未知(至今)之原發進行性之結核性肋膜炎
01013,顯微鏡檢(痰)發現結核菌之原發進行性之結核性肋膜炎
01014,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之原發進行性之結核性肋膜炎
01015,細菌學檢查未發現結核菌但組織學確認結核病之原發進行性之結核性肋膜炎
01016,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之原發進行性之結
0108,其他原發進行性結核病
01080,其他原發進行性結核病
01081,未作細菌學或組織學檢查之其他原發進行性結核病
01082,細菌學或組織學檢查未知(至今)之其他原發進行性結核病
01083,顯微鏡檢(痰)發現結核菌之其他原發進行性結核病
01084,顯微鏡檢(痰)未發現結核菌，但細菌培養陽性之其他原發進行性結核病
01085,細菌學檢查未發現結核菌，但組織學確認結核病之其他原發進行性結核病
01086,細菌學或組織學檢查未發現結核菌，但經由其他方法(如動物接種試驗)確認之其他原發進行性
0109,原發性結核感染
01090,原發性結核感染
01091,未作細菌學或組織學檢查之原發性結核感染
